year,category,amount,municipality
2013,Atvinnumál,-1000000.0,Garðabær
2014,Atvinnumál,-1000000.0,Garðabær
2015,Atvinnumál,-1000000.0,Garðabær
2016,Atvinnumál,-900000.0,Garðabær
2017,Atvinnumál,-900000.0,Garðabær
2018,Atvinnumál,-225000.0,Garðabær
2019,Atvinnumál,0.0,Garðabær
2020,Atvinnumál,0.0,Garðabær
2021,Atvinnumál,0.0,Garðabær
2022,Atvinnumál,0.0,Garðabær
2013,Brunamál og almannavarnir,-75000000.0,Garðabær
2014,Brunamál og almannavarnir,-91000000.0,Garðabær
2015,Brunamál og almannavarnir,-95000000.0,Garðabær
2016,Brunamál og almannavarnir,-95632000.0,Garðabær
2017,Brunamál og almannavarnir,-104926000.0,Garðabær
2018,Brunamál og almannavarnir,-111565000.0,Garðabær
2019,Brunamál og almannavarnir,-119862000.0,Garðabær
2020,Brunamál og almannavarnir,-123468000.0,Garðabær
2021,Brunamál og almannavarnir,-154944000.0,Garðabær
2022,Brunamál og almannavarnir,-172550000.0,Garðabær
2013,Fjármagnsliðir (nettó),0.0,Garðabær
2014,Fjármagnsliðir (nettó),0.0,Garðabær
2015,Fjármagnsliðir (nettó),0.0,Garðabær
2016,Fjármagnsliðir (nettó),815623000.0,Garðabær
2017,Fjármagnsliðir (nettó),813910000.0,Garðabær
2018,Fjármagnsliðir (nettó),943482000.0,Garðabær
2019,Fjármagnsliðir (nettó),834147000.0,Garðabær
2020,Fjármagnsliðir (nettó),654427000.0,Garðabær
2021,Fjármagnsliðir (nettó),755616000.0,Garðabær
2022,Fjármagnsliðir (nettó),1172552000.0,Garðabær
2013,Fjármunatekjur og fjármagnsgjöld,-896000000.0,Garðabær
2014,Fjármunatekjur og fjármagnsgjöld,-665000000.0,Garðabær
2015,Fjármunatekjur og fjármagnsgjöld,-784000000.0,Garðabær
2016,Fjármunatekjur og fjármagnsgjöld,0.0,Garðabær
2017,Fjármunatekjur og fjármagnsgjöld,0.0,Garðabær
2018,Fjármunatekjur og fjármagnsgjöld,0.0,Garðabær
2019,Fjármunatekjur og fjármagnsgjöld,0.0,Garðabær
2020,Fjármunatekjur og fjármagnsgjöld,0.0,Garðabær
2021,Fjármunatekjur og fjármagnsgjöld,0.0,Garðabær
2022,Fjármunatekjur og fjármagnsgjöld,0.0,Garðabær
2013,Fræðslu- og uppeldismál,-4244000000.0,Garðabær
2014,Fræðslu- og uppeldismál,-4702000000.0,Garðabær
2015,Fræðslu- og uppeldismál,-5240000000.0,Garðabær
2016,Fræðslu- og uppeldismál,-5678873000.0,Garðabær
2017,Fræðslu- og uppeldismál,-6407494000.0,Garðabær
2018,Fræðslu- og uppeldismál,-6893928000.0,Garðabær
2019,Fræðslu- og uppeldismál,-7491761000.0,Garðabær
2020,Fræðslu- og uppeldismál,-8424756000.0,Garðabær
2021,Fræðslu- og uppeldismál,-9451498000.0,Garðabær
2022,Fræðslu- og uppeldismál,-10945083000.0,Garðabær
2013,Félagsþjónusta,-868000000.0,Garðabær
2014,Félagsþjónusta,-975000000.0,Garðabær
2015,Félagsþjónusta,-1187000000.0,Garðabær
2016,Félagsþjónusta,-1348003000.0,Garðabær
2017,Félagsþjónusta,-1535914000.0,Garðabær
2018,Félagsþjónusta,-1870906000.0,Garðabær
2019,Félagsþjónusta,-1999793000.0,Garðabær
2020,Félagsþjónusta,-2873008000.0,Garðabær
2021,Félagsþjónusta,-2684376000.0,Garðabær
2022,Félagsþjónusta,-3036089000.0,Garðabær
2013,Heilbrigðismál,0.0,Garðabær
2014,Heilbrigðismál,0.0,Garðabær
2015,Heilbrigðismál,-6000000.0,Garðabær
2016,Heilbrigðismál,-5983000.0,Garðabær
2017,Heilbrigðismál,-8851000.0,Garðabær
2018,Heilbrigðismál,-6276000.0,Garðabær
2019,Heilbrigðismál,-9363000.0,Garðabær
2020,Heilbrigðismál,-11184000.0,Garðabær
2021,Heilbrigðismál,-12360000.0,Garðabær
2022,Heilbrigðismál,-14840000.0,Garðabær
2013,Hreinlætismál,-39000000.0,Garðabær
2014,Hreinlætismál,-35000000.0,Garðabær
2015,Hreinlætismál,-37000000.0,Garðabær
2016,Hreinlætismál,-41471000.0,Garðabær
2017,Hreinlætismál,-81369000.0,Garðabær
2018,Hreinlætismál,-103633000.0,Garðabær
2019,Hreinlætismál,-86997000.0,Garðabær
2020,Hreinlætismál,-100081000.0,Garðabær
2021,Hreinlætismál,-43568000.0,Garðabær
2022,Hreinlætismál,-35197000.0,Garðabær
2013,"Lífeyrisskuldbinding, breyting",0.0,Garðabær
2014,"Lífeyrisskuldbinding, breyting",0.0,Garðabær
2015,"Lífeyrisskuldbinding, breyting",0.0,Garðabær
2016,"Lífeyrisskuldbinding, breyting",-284565000.0,Garðabær
2017,"Lífeyrisskuldbinding, breyting",-416631000.0,Garðabær
2018,"Lífeyrisskuldbinding, breyting",-29052000.0,Garðabær
2019,"Lífeyrisskuldbinding, breyting",-40019000.0,Garðabær
2020,"Lífeyrisskuldbinding, breyting",-40019000.0,Garðabær
2021,"Lífeyrisskuldbinding, breyting",-972730000.0,Garðabær
2022,"Lífeyrisskuldbinding, breyting",-371658000.0,Garðabær
2013,Menningarmál,-173000000.0,Garðabær
2014,Menningarmál,-164000000.0,Garðabær
2015,Menningarmál,-174000000.0,Garðabær
2016,Menningarmál,-201782000.0,Garðabær
2017,Menningarmál,-187908000.0,Garðabær
2018,Menningarmál,-218194000.0,Garðabær
2019,Menningarmál,-218448000.0,Garðabær
2020,Menningarmál,-220722000.0,Garðabær
2021,Menningarmál,-250816000.0,Garðabær
2022,Menningarmál,-263566000.0,Garðabær
2013,Sameiginlegur kostnaður,-557000000.0,Garðabær
2014,Sameiginlegur kostnaður,-496000000.0,Garðabær
